,from,to,total,jury,public
314,se,fi,7,0,7
315,si,md,7,0,7
316,sm,az,7,7,0
317,ua,gr,7,7,0
318,al,se,8,8,0
319,at,nl,8,8,0
320,be,md,8,0,8
321,cy,au,8,8,0
322,cz,md,8,0,8
323,de,nl,8,4,4
324,de,pl,8,0,8
325,dk,no,8,0,8
326,dk,pt,8,8,0
327,ee,au,8,8,0
328,es,au,8,8,0
329,es,rs,8,6,2
330,fi,au,8,8,0
331,fr,rs,8,0,8
332,gb,md,8,0,8
333,ge,md,8,0,8
334,ge,se,8,8,0
335,gr,au,8,8,0
336,gr,it,8,1,7
337,gr,rs,8,0,8
338,hr,md,8,0,8
339,ie,lt,8,0,8
340,it,am,8,8,0
341,it,ro,8,0,8
342,lt,ee,8,0,8
343,lv,ee,8,0,8
344,me,se,8,7,1
345,mk,gb,8,8,0
346,mk,ua,8,0,8
347,mt,ua,8,0,8
348,nl,no,8,3,5
349,nl,pt,8,8,0
350,no,es,8,7,1
351,pl,ee,8,0,8
352,pl,pt,8,7,1
353,pt,md,8,0,8
354,pt,rs,8,3,5
355,ro,it,8,4,4
356,rs,be,8,8,0
357,rs,no,8,0,8
358,si,nl,8,7,1
359,sm,it,8,3,5
360,sm,rs,8,0,8
361,sm,se,8,5,3
362,ua,is,8,0,8
363,cy,gb,9,3,6
364,ee,gb,9,4,5
365,ee,lt,9,2,7
366,gr,md,9,6,3
367,gr,ro,9,7,2
368,hr,se,9,5,4
369,is,nl,9,4,5
370,me,pt,9,4,5
371,ro,es,9,1,8
372,am,it,10,10,0
373,at,no,10,5,5
374,at,pt,10,10,0
375,at,rs,10,0,10
376,au,no,10,0,10
377,be,nl,10,0,10
378,bg,am,10,5,5
379,bg,rs,10,0,10
380,ch,it,10,2,8
381,ch,nl,10,10,0
382,ch,se,10,7,3
383,cy,az,10,10,0
384,cz,rs,10,0,10
385,de,es,10,8,2
386,de,md,10,0,10
387,dk,lt,10,3,7
388,dk,nl,10,10,0
389,ee,it,10,10,0
390,fi,ee,10,0,10
391,fi,no,10,4,6
392,fr,md,10,0,10
393,ge,am,10,0,10
394,ge,it,10,10,0
395,gr,pl,10,10,0
396,gr,ua,10,0,10
397,hr,it,10,4,6
398,hr,lt,10,7,3
399,hr,pt,10,10,0
400,ie,pl,10,0,10
401,it,gr,10,10,0
402,lv,no,10,5,5
403,md,ro,10,0,10
404,mk,se,10,6,4
405,nl,be,10,6,4
406,nl,ch,10,10,0
407,no,pt,10,10,0
408,se,au,10,10,0
409,se,ee,10,6,4
410,ua,lt,10,0,10
411,ua,pt,10,10,0
412,ch,gb,11,6,5
413,cy,rs,11,4,7
414,es,gb,11,3,8
415,ge,es,11,5,6
416,il,es,11,3,8
417,il,it,11,8,3
418,it,rs,11,4,7
419,lt,es,11,5,6
420,lv,gb,11,8,3
421,lv,lt,11,1,10
422,md,es,11,3,8
423,pl,gb,11,8,3
424,pt,nl,11,7,4
425,ro,gb,11,8,3
426,ua,nl,11,8,3
427,al,es,12,5,7
428,al,gr,12,0,12
429,al,nl,12,6,6
430,am,pt,12,8,4
431,am,se,12,5,7
432,at,ua,12,0,12
433,az,se,12,8,4
434,be,it,12,8,4
435,be,se,12,7,5
436,bg,ua,12,0,12
437,ch,gr,12,12,0
438,ch,pt,12,5,7
439,ch,rs,12,0,12
440,cz,ee,12,8,4
441,de,se,12,7,5
442,dk,gb,12,6,6
443,dk,gr,12,12,0
444,ee,ua,12,0,12
445,es,az,12,12,0
446,es,ua,12,0,12
447,fi,ua,12,0,12
448,fr,am,12,7,5
449,fr,es,12,5,7
450,fr,pl,12,8,4
451,gb,ua,12,0,12
452,gr,az,12,12,0
453,it,gb,12,6,6
454,it,ua,12,0,12
455,md,ee,12,5,7
456,nl,es,12,5,7
457,nl,gb,12,4,8
458,nl,gr,12,12,0
459,nl,md,12,2,10
460,nl,ua,12,0,12
461,no,gb,12,6,6
462,no,lt,12,2,10
463,ro,md,12,0,12
464,rs,az,12,12,0
465,rs,md,12,0,12
466,se,rs,12,4,8
467,se,ua,12,0,12
468,si,gr,12,4,8
469,si,lt,12,10,2
470,ua,pl,12,0,12
471,at,se,13,7,6
472,bg,gb,13,10,3
473,ch,ua,13,3,10
474,cz,es,13,7,6
475,ee,fi,13,5,8
476,es,se,13,7,6
477,hr,es,13,6,7
478,ie,se,13,10,3
479,lt,se,13,3,10
480,md,gb,13,10,3
481,md,se,13,8,5
482,mk,it,13,7,6
483,se,no,13,3,10
484,al,gb,14,10,4
485,ch,es,14,8,6
486,cy,es,14,6,8
487,cz,gb,14,12,2
488,es,ro,14,4,10
489,fi,gb,14,10,4
490,fi,rs,14,7,7
491,fr,gb,14,12,2
492,ie,gb,14,8,6
493,is,gb,14,7,7
494,it,nl,14,12,2
495,lt,gb,14,10,4
496,rs,es,14,4,10
497,se,es,14,12,2
498,se,gb,14,8,6
499,sm,gb,14,8,6
500,sm,ua,14,2,12
501,am,ee,15,3,12
502,au,se,15,10,5
503,az,es,15,5,10
504,az,it,15,10,5
505,be,gb,15,12,3
506,cz,se,15,10,5
507,es,it,15,10,5
508,gb,es,15,10,5
509,ie,ua,15,3,12
510,it,md,15,5,10
511,lt,pt,15,8,7
512,mt,se,15,10,5
513,no,ua,15,3,12
514,am,ua,16,6,10
515,au,rs,16,8,8
516,be,es,16,10,6
517,bg,es,16,8,8
518,cz,ua,16,4,12
519,gb,se,16,12,4
520,ge,gb,16,12,4
521,lv,se,16,10,6
522,me,es,16,8,8
523,me,it,16,10,6
524,me,ua,16,6,10
525,no,se,16,8,8
526,pt,gb,16,10,6
527,ro,se,16,10,6
528,rs,ee,16,10,6
529,al,ua,17,7,10
530,dk,se,17,7,10
531,dk,ua,17,5,12
532,gr,es,17,5,12
533,ie,es,17,12,5
534,il,se,17,12,5
535,mt,it,17,7,10
536,sm,gr,17,10,7
537,au,es,18,12,6
538,az,ua,18,6,12
539,be,ua,18,6,12
540,bg,gr,18,12,6
541,de,gb,18,12,6
542,gb,pl,18,8,10
543,ge,ua,18,6,12
544,hr,ua,18,8,10
545,is,no,18,8,10
546,si,it,18,12,6
547,si,rs,18,6,12
548,si,ua,18,8,10
549,au,ua,19,7,12
550,cy,ua,19,7,12
551,il,ua,19,7,12
552,mt,es,19,12,7
553,no,gr,19,12,7
554,ua,gb,19,12,7
555,al,it,20,12,8
556,am,es,20,12,8
557,at,gb,20,12,8
558,az,gb,20,12,8
559,fi,se,20,12,8
560,il,gb,20,10,10
561,is,se,20,12,8
562,mt,gb,20,8,12
563,pl,se,20,10,10
564,pt,ua,20,8,12
565,cy,gr,22,12,10
566,de,ua,22,10,12
567,ee,se,22,12,10
568,fr,ua,22,10,12
569,is,ua,22,10,12
570,mk,es,22,12,10
571,mk,rs,22,10,12
572,pt,es,22,12,10
573,ro,ua,22,12,10
574,sm,es,22,12,10
575,hr,rs,24,12,12
576,lt,ua,24,12,12
577,lv,ua,24,12,12
578,md,ua,24,12,12
579,me,rs,24,12,12
580,pl,ua,24,12,12
