"Country or Area","Year","Area","Sex","Language","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Armenia","2011","Total","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1420964",""
"Armenia","2011","Total","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","7934",""
"Armenia","2011","Total","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","94",""
"Armenia","2011","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3381",""
"Armenia","2011","Total","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","15666",""
"Armenia","2011","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1570802",""
"Armenia","2011","Total","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1535651",""
"Armenia","2011","Total","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","15550",""
"Armenia","2011","Total","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","639",""
"Armenia","2011","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3639",""
"Armenia","2011","Total","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","15307",""
"Armenia","2011","Urban","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1911287",""
"Armenia","2011","Urban","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1886160",""
"Armenia","2011","Urban","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","17791",""
"Armenia","2011","Urban","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","552",""
"Armenia","2011","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2567",""
"Armenia","2011","Urban","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","4199",""
"Armenia","2011","Urban","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","895372",""
"Armenia","2011","Urban","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","886292",""
"Armenia","2011","Urban","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","5697",""
"Armenia","2011","Urban","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","75",""
"Armenia","2011","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1222",""
"Armenia","2011","Urban","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","2078",""
"Armenia","2011","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1015915",""
"Armenia","2011","Urban","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","999868",""
"Armenia","2011","Urban","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","12094",""
"Armenia","2011","Urban","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","477",""
"Armenia","2011","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1345",""
"Armenia","2011","Urban","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","2121",""
"Armenia","2011","Rural","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1107567",""
"Armenia","2011","Rural","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","1070455",""
"Armenia","2011","Rural","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","5693",""
"Armenia","2011","Rural","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","181",""
"Armenia","2011","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","4453",""
"Armenia","2011","Rural","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","26774",""
"Armenia","2011","Rural","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2013","552680",""
"Armenia","2011","Rural","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","534672",""
"Armenia","2011","Rural","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","2237",""
"Armenia","2011","Rural","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","19",""
"Armenia","2011","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2159",""
"Armenia","2011","Rural","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","13588",""
"Armenia","2011","Rural","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2013","554887",""
"Armenia","2011","Rural","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2013","535783",""
"Armenia","2011","Rural","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2013","3456",""
"Armenia","2011","Rural","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2013","162",""
"Armenia","2011","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2294",""
"Armenia","2011","Rural","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2013","13186",""
"Armenia","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","3213011","1,2"
"Armenia","2001","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","3139152","1,2"
"Armenia","2001","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","29563","1,2"
"Armenia","2001","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","818","1,2"
"Armenia","2001","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","11679","1,2"
"Armenia","2001","Total","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","31799","1,2"
"Armenia","2001","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1541999","1,2"
"Armenia","2001","Total","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1511020","1,2"
"Armenia","2001","Total","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","9540","1,2"
"Armenia","2001","Total","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","91","1,2"
"Armenia","2001","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","5401","1,2"
"Armenia","2001","Total","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","15947","1,2"
"Armenia","2001","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1671012","1,2"
"Armenia","2001","Total","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1628132","1,2"
"Armenia","2001","Total","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","20023","1,2"
"Armenia","2001","Total","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","727","1,2"
"Armenia","2001","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","6278","1,2"
"Armenia","2001","Total","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","15852","1,2"
"Armenia","2001","Urban","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","2066153","1,2"
"Armenia","2001","Urban","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","2034296","1,2"
"Armenia","2001","Urban","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","22328","1,2"
"Armenia","2001","Urban","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","652","1,2"
"Armenia","2001","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","3366","1,2"
"Armenia","2001","Urban","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","5511","1,2"
"Armenia","2001","Urban","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","974826","1,2"
"Armenia","2001","Urban","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","963849","1,2"
"Armenia","2001","Urban","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","6771","1,2"
"Armenia","2001","Urban","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","85","1,2"
"Armenia","2001","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","1404","1,2"
"Armenia","2001","Urban","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","2717","1,2"
"Armenia","2001","Urban","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1091327","1,2"
"Armenia","2001","Urban","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1070447","1,2"
"Armenia","2001","Urban","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","15557","1,2"
"Armenia","2001","Urban","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","567","1,2"
"Armenia","2001","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","1962","1,2"
"Armenia","2001","Urban","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","2794","1,2"
"Armenia","2001","Rural","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2003","1146858","1,2"
"Armenia","2001","Rural","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","1104856","1,2"
"Armenia","2001","Rural","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","7235","1,2"
"Armenia","2001","Rural","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","166","1,2"
"Armenia","2001","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2003","8313","1,2"
"Armenia","2001","Rural","Both Sexes","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","26288","1,2"
"Armenia","2001","Rural","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2003","567173","1,2"
"Armenia","2001","Rural","Male","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","547171","1,2"
"Armenia","2001","Rural","Male","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","2769","1,2"
"Armenia","2001","Rural","Male","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","6","1,2"
"Armenia","2001","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2003","3997","1,2"
"Armenia","2001","Rural","Male","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","13230","1,2"
"Armenia","2001","Rural","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2003","579685","1,2"
"Armenia","2001","Rural","Female","Armenian","Census - de jure - complete tabulation","Final figure, complete","2003","557685","1,2"
"Armenia","2001","Rural","Female","Russian","Census - de jure - complete tabulation","Final figure, complete","2003","4466","1,2"
"Armenia","2001","Rural","Female","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2003","160","1,2"
"Armenia","2001","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2003","4316","1,2"
"Armenia","2001","Rural","Female","Ezidian","Census - de jure - complete tabulation","Final figure, complete","2003","13058","1,2"
"Australia","2016","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2017","23401892","3"
"Australia","2016","Total","Both Sexes","Aboriginal","Census - de jure - complete tabulation","Final figure, complete","2017","651","3"
"Australia","2016","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2017","9181","3"
"Australia","2016","Total","Both Sexes","Arabic","Census - de jure - complete tabulation","Final figure, complete","2017","321728","3"
"Australia","2016","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2017","10194","3"
"Australia","2016","Total","Both Sexes","Assamese","Census - de jure - complete tabulation","Final figure, complete","2017","373","3"
"Australia","2016","Total","Both Sexes","Assyrian","Census - de jure - complete tabulation","Final figure, complete","2017","28349","3"
"Australia","2016","Total","Both Sexes","Afrikaans","Census - de jure - complete tabulation","Final figure, complete","2017","43741","3"
"Australia","2016","Total","Both Sexes","Balinese","Census - de jure - complete tabulation","Final figure, complete","2017","199","3"
"Australia","2016","Total","Both Sexes","Belorussian","Census - de jure - complete tabulation","Final figure, complete","2017","187","3"
"Australia","2016","Total","Both Sexes","Bemba","Census - de jure - complete tabulation","Final figure, complete","2017","783","3"
"Australia","2016","Total","Both Sexes","Bislama","Census - de jure - complete tabulation","Final figure, complete","2017","266","3"
"Australia","2016","Total","Both Sexes","Bengali","Census - de jure - complete tabulation","Final figure, complete","2017","54566","3"
"Australia","2016","Total","Both Sexes","Bikol","Census - de jure - complete tabulation","Final figure, complete","2017","111","3"
"Australia","2016","Total","Both Sexes","Bosnian","Census - de jure - complete tabulation","Final figure, complete","2017","15832","3"
"Australia","2016","Total","Both Sexes","Bulgarian","Census - de jure - complete tabulation","Final figure, complete","2017","2682","3"
"Australia","2016","Total","Both Sexes","Burmese","Census - de jure - complete tabulation","Final figure, complete","2017","16321","3"
"Australia","2016","Total","Both Sexes","Cantonese","Census - de jure - complete tabulation","Final figure, complete","2017","280943","3"
"Australia","2016","Total","Both Sexes","Cebuano","Census - de jure - complete tabulation","Final figure, complete","2017","2820","3"
"Australia","2016","Total","Both Sexes","Tibetan","Census - de jure - complete tabulation","Final figure, complete","2017","1473","3"
"Australia","2016","Total","Both Sexes","Croatian","Census - de jure - complete tabulation","Final figure, complete","2017","56885","3"
"Australia","2016","Total","Both Sexes","Czech","Census - de jure - complete tabulation","Final figure, complete","2017","7938","3"
"Australia","2016","Total","Both Sexes","Danish","Census - de jure - complete tabulation","Final figure, complete","2017","5777","3"
"Australia","2016","Total","Both Sexes","Dutch","Census - de jure - complete tabulation","Final figure, complete","2017","33835","3"
"Australia","2016","Total","Both Sexes","English","Census - de jure - complete tabulation","Final figure, complete","2017","17020417","3"
"Australia","2016","Total","Both Sexes","Estonian","Census - de jure - complete tabulation","Final figure, complete","2017","1844","3"
"Australia","2016","Total","Both Sexes","Fijian","Census - de jure - complete tabulation","Final figure, complete","2017","8145","3"
"Australia","2016","Total","Both Sexes","Finnish","Census - de jure - complete tabulation","Final figure, complete","2017","5962","3"
"Australia","2016","Total","Both Sexes","French","Census - de jure - complete tabulation","Final figure, complete","2017","70873","3"
"Australia","2016","Total","Both Sexes","Georgian","Census - de jure - complete tabulation","Final figure, complete","2017","198","3"
"Australia","2016","Total","Both Sexes","German","Census - de jure - complete tabulation","Final figure, complete","2017","79353","3"
"Australia","2016","Total","Both Sexes","Gilbertese","Census - de jure - complete tabulation","Final figure, complete","2017","387","3"
"Australia","2016","Total","Both Sexes","Greek","Census - de jure - complete tabulation","Final figure, complete","2017","237588","3"
"Australia","2016","Total","Both Sexes","Gujarati","Census - de jure - complete tabulation","Final figure, complete","2017","52888","3"
"Australia","2016","Total","Both Sexes","Hakka","Census - de jure - complete tabulation","Final figure, complete","2017","8989","3"
"Australia","2016","Total","Both Sexes","Hebrew","Census - de jure - complete tabulation","Final figure, complete","2017","10341","3"
"Australia","2016","Total","Both Sexes","Hindi","Census - de jure - complete tabulation","Final figure, complete","2017","159652","3"
"Australia","2016","Total","Both Sexes","Hungarian","Census - de jure - complete tabulation","Final figure, complete","2017","19895","3"
"Australia","2016","Total","Both Sexes","Hausa","Census - de jure - complete tabulation","Final figure, complete","2017","202","3"
"Australia","2016","Total","Both Sexes","Iban","Census - de jure - complete tabulation","Final figure, complete","2017","62","3"
"Australia","2016","Total","Both Sexes","Icelandic","Census - de jure - complete tabulation","Final figure, complete","2017","286","3"
"Australia","2016","Total","Both Sexes","Indonesian","Census - de jure - complete tabulation","Final figure, complete","2017","67891","3"
"Australia","2016","Total","Both Sexes","Italian","Census - de jure - complete tabulation","Final figure, complete","2017","271597","3"
"Australia","2016","Total","Both Sexes","Japanese","Census - de jure - complete tabulation","Final figure, complete","2017","55966","3"
"Australia","2016","Total","Both Sexes","Javanese","Census - de jure - complete tabulation","Final figure, complete","2017","78","3"
"Australia","2016","Total","Both Sexes","Kannada","Census - de jure - complete tabulation","Final figure, complete","2017","9701","3"
"Australia","2016","Total","Both Sexes","Khmer","Census - de jure - complete tabulation","Final figure, complete","2017","35428","3"
"Australia","2016","Total","Both Sexes","Konkani","Census - de jure - complete tabulation","Final figure, complete","2017","2416","3"
"Australia","2016","Total","Both Sexes","Korean","Census - de jure - complete tabulation","Final figure, complete","2017","108997","3"
"Australia","2016","Total","Both Sexes","Latvian","Census - de jure - complete tabulation","Final figure, complete","2017","2950","3"
"Australia","2016","Total","Both Sexes","Lingala","Census - de jure - complete tabulation","Final figure, complete","2017","301","3"
"Australia","2016","Total","Both Sexes","Lithuanian","Census - de jure - complete tabulation","Final figure, complete","2017","1999","3"
"Australia","2016","Total","Both Sexes","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2017","66019","3"
"Australia","2016","Total","Both Sexes","Malay","Census - de jure - complete tabulation","Final figure, complete","2017","17942","3"
"Australia","2016","Total","Both Sexes","Malayalam","Census - de jure - complete tabulation","Final figure, complete","2017","53206","3"
"Australia","2016","Total","Both Sexes","Maltese","Census - de jure - complete tabulation","Final figure, complete","2017","31987","3"
"Australia","2016","Total","Both Sexes","Mandarin","Census - de jure - complete tabulation","Final figure, complete","2017","596711","3"
"Australia","2016","Total","Both Sexes","Marathi","Census - de jure - complete tabulation","Final figure, complete","2017","13055","3"
"Australia","2016","Total","Both Sexes","Mongolian","Census - de jure - complete tabulation","Final figure, complete","2017","2144","3"
"Australia","2016","Total","Both Sexes","Ndebele","Census - de jure - complete tabulation","Final figure, complete","2017","1363","3"
"Australia","2016","Total","Both Sexes","Nepali","Census - de jure - complete tabulation","Final figure, complete","2017","62005","3"
"Australia","2016","Total","Both Sexes","Norwegian","Census - de jure - complete tabulation","Final figure, complete","2017","2898","3"
"Australia","2016","Total","Both Sexes","Not stated","Census - de jure - complete tabulation","Final figure, complete","2017","1509829","3"
"Australia","2016","Total","Both Sexes","Oriya","Census - de jure - complete tabulation","Final figure, complete","2017","721","3"
"Australia","2016","Total","Both Sexes","Polish","Census - de jure - complete tabulation","Final figure, complete","2017","48083","3"
"Australia","2016","Total","Both Sexes","Pashto","Census - de jure - complete tabulation","Final figure, complete","2017","9233","3"
"Australia","2016","Total","Both Sexes","Portuguese","Census - de jure - complete tabulation","Final figure, complete","2017","48853","3"
"Australia","2016","Total","Both Sexes","Punjabi","Census - de jure - complete tabulation","Final figure, complete","2017","132496","3"
"Australia","2016","Total","Both Sexes","Romanian","Census - de jure - complete tabulation","Final figure, complete","2017","12955","3"
"Australia","2016","Total","Both Sexes","Romany","Census - de jure - complete tabulation","Final figure, complete","2017","167","3"
"Australia","2016","Total","Both Sexes","Russian","Census - de jure - complete tabulation","Final figure, complete","2017","50314","3"
"Australia","2016","Total","Both Sexes","Samoan","Census - de jure - complete tabulation","Final figure, complete","2017","44869","3"
"Australia","2016","Total","Both Sexes","Serbian","Census - de jure - complete tabulation","Final figure, complete","2017","53801","3"
"Australia","2016","Total","Both Sexes","Shona","Census - de jure - complete tabulation","Final figure, complete","2017","11037","3"
"Australia","2016","Total","Both Sexes","Sindhi","Census - de jure - complete tabulation","Final figure, complete","2017","1592","3"
"Australia","2016","Total","Both Sexes","Sinhalese","Census - de jure - complete tabulation","Final figure, complete","2017","64612","3"
"Australia","2016","Total","Both Sexes","Slovak","Census - de jure - complete tabulation","Final figure, complete","2017","5437","3"
"Australia","2016","Total","Both Sexes","Somali","Census - de jure - complete tabulation","Final figure, complete","2017","14176","3"
"Australia","2016","Total","Both Sexes","Spanish","Census - de jure - complete tabulation","Final figure, complete","2017","140817","3"
"Australia","2016","Total","Both Sexes","Swahili","Census - de jure - complete tabulation","Final figure, complete","2017","11460","3"
"Australia","2016","Total","Both Sexes","Swedish","Census - de jure - complete tabulation","Final figure, complete","2017","8956","3"
"Australia","2016","Total","Both Sexes","Tagalog","Census - de jure - complete tabulation","Final figure, complete","2017","111273","3"
"Australia","2016","Total","Both Sexes","Tamil","Census - de jure - complete tabulation","Final figure, complete","2017","73161","3"
"Australia","2016","Total","Both Sexes","Tatar","Census - de jure - complete tabulation","Final figure, complete","2017","113","3"
"Australia","2016","Total","Both Sexes","Telugu","Census - de jure - complete tabulation","Final figure, complete","2017","34435","3"
"Australia","2016","Total","Both Sexes","Thai","Census - de jure - complete tabulation","Final figure, complete","2017","55444","3"
"Australia","2016","Total","Both Sexes","Tokelauan","Census - de jure - complete tabulation","Final figure, complete","2017","953","3"
"Australia","2016","Total","Both Sexes","Tigre","Census - de jure - complete tabulation","Final figure, complete","2017","170","3"
"Australia","2016","Total","Both Sexes","Tongan","Census - de jure - complete tabulation","Final figure, complete","2017","17691","3"
"Australia","2016","Total","Both Sexes","Tswana","Census - de jure - complete tabulation","Final figure, complete","2017","451","3"
"Australia","2016","Total","Both Sexes","Turkish","Census - de jure - complete tabulation","Final figure, complete","2017","58355","3"
"Australia","2016","Total","Both Sexes","Turkmen","Census - de jure - complete tabulation","Final figure, complete","2017","336","3"
"Australia","2016","Total","Both Sexes","Tulu","Census - de jure - complete tabulation","Final figure, complete","2017","585","3"
"Australia","2016","Total","Both Sexes","Uygur","Census - de jure - complete tabulation","Final figure, complete","2017","1025","3"
"Australia","2016","Total","Both Sexes","Ukrainian","Census - de jure - complete tabulation","Final figure, complete","2017","7676","3"
"Australia","2016","Total","Both Sexes","Urdu","Census - de jure - complete tabulation","Final figure, complete","2017","69293","3"
"Australia","2016","Total","Both Sexes","Uzbek","Census - de jure - complete tabulation","Final figure, complete","2017","518","3"
"Australia","2016","Total","Both Sexes","Vietnamese","Census - de jure - complete tabulation","Final figure, complete","2017","277400","3"
"Australia","2016","Total","Both Sexes","Welsh","Census - de jure - complete tabulation","Final figure, complete","2017","1688","3"
"Australia","2016","Total","Both Sexes","Xhosa","Census - de jure - complete tabulation","Final figure, complete","2017","159","3"
"Australia","2016","Total","Both Sexes","Yapese","Census - de jure - complete tabulation","Final figure, complete","2017","11","3"
"Australia","2016","Total","Both Sexes","Yiddish","Census - de jure - complete tabulation","Final figure, complete","2017","1495","3"
"Australia","2016","Total","Both Sexes","Yoruba","Census - de jure - complete tabulation","Final figure, complete","2017","2465","3"
"Australia","2016","Total","Both Sexes","Zulu","Census - de jure - complete tabulation","Final figure, complete","2017","664","3"
"Australia","2016","Total","Both Sexes","Ewe","Census - de jure - complete tabulation","Final figure, complete","2017","541","3"
"Australia","2016","Total","Both Sexes","Ga","Census - de jure - complete tabulation","Final figure, complete","2017","227","3"
"Australia","2016","Total","Both Sexes","Tuvaluan","Census - de jure - complete tabulation","Final figure, complete","2017","249","3"
"Australia","2016","Total","Both Sexes","Lao","Census - de jure - complete tabulation","Final figure, complete","2017","9983","3"
"Australia","2016","Total","Both Sexes","Tetum","Census - de jure - complete tabulation","Final figure, complete","2017","1105","3"
"Australia","2016","Total","Both Sexes","Inadequately described","Census - de jure - complete tabulation","Final figure, complete","2017","12847","3"
"Australia","2016","Total","Both Sexes","Irish","Census - de jure - complete tabulation","Final figure, complete","2017","1941","3"
"Australia","2016","Total","Both Sexes","Other Southern Asian Languages","Census - de jure - complete tabulation","Final figure, complete","2017","2398","3"
"Australia","2016","Total","Both Sexes","Other Southeast Asian Languages","Census - de jure - complete tabulation","Final figure, complete","2017","58","3"
"Australia","2016","Total","Both Sexes","Eastern Asian Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","38","3"
"Australia","2016","Total","Both Sexes","American Languages","Census - de jure - complete tabulation","Final figure, complete","2017","116","3"
"Australia","2016","Total","Both Sexes","Invented Languages","Census - de jure - complete tabulation","Final figure, complete","2017","131","3"
"Australia","2016","Total","Both Sexes","Basque","Census - de jure - complete tabulation","Final figure, complete","2017","65","3"
"Australia","2016","Total","Both Sexes","Catalan","Census - de jure - complete tabulation","Final figure, complete","2017","443","3"
"Australia","2016","Total","Both Sexes","Mauritian Creole","Census - de jure - complete tabulation","Final figure, complete","2017","4200","3"
"Australia","2016","Total","Both Sexes","Nauruan","Census - de jure - complete tabulation","Final figure, complete","2017","312","3"
"Australia","2016","Total","Both Sexes","Rotuman","Census - de jure - complete tabulation","Final figure, complete","2017","363","3"
"Australia","2016","Total","Both Sexes","Tigrinya","Census - de jure - complete tabulation","Final figure, complete","2017","4583","3"
"Australia","2016","Total","Both Sexes","Wu","Census - de jure - complete tabulation","Final figure, complete","2017","3384","3"
"Australia","2016","Total","Both Sexes","Karen","Census - de jure - complete tabulation","Final figure, complete","2017","10270","3"
"Australia","2016","Total","Both Sexes","Dari","Census - de jure - complete tabulation","Final figure, complete","2017","30437","3"
"Australia","2016","Total","Both Sexes","Latin","Census - de jure - complete tabulation","Final figure, complete","2017","309","3"
"Australia","2016","Total","Both Sexes","Oromo","Census - de jure - complete tabulation","Final figure, complete","2017","3047","3"
"Australia","2016","Total","Both Sexes","Auslan","Census - de jure - complete tabulation","Final figure, complete","2017","10112","3"
"Australia","2016","Total","Both Sexes","Min Nan","Census - de jure - complete tabulation","Final figure, complete","2017","17905","3"
"Australia","2016","Total","Both Sexes","Acehnese","Census - de jure - complete tabulation","Final figure, complete","2017","104","3"
"Australia","2016","Total","Both Sexes","Acholi","Census - de jure - complete tabulation","Final figure, complete","2017","1089","3"
"Australia","2016","Total","Both Sexes","Adnymathanha","Census - de jure - complete tabulation","Final figure, complete","2017","140","3"
"Australia","2016","Total","Both Sexes","African Languages, nec","Census - de jure - complete tabulation","Final figure, complete","2017","2786","3"
"Australia","2016","Total","Both Sexes","African Languages, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","2232","3"
"Australia","2016","Total","Both Sexes","Akan","Census - de jure - complete tabulation","Final figure, complete","2017","3095","3"
"Australia","2016","Total","Both Sexes","Alawa","Census - de jure - complete tabulation","Final figure, complete","2017","4","3"
"Australia","2016","Total","Both Sexes","Alyawarr","Census - de jure - complete tabulation","Final figure, complete","2017","1548","3"
"Australia","2016","Total","Both Sexes","Amharic","Census - de jure - complete tabulation","Final figure, complete","2017","6812","3"
"Australia","2016","Total","Both Sexes","Anindilyakwa","Census - de jure - complete tabulation","Final figure, complete","2017","1484","3"
