,0,1,2,3,4,5,Sum,Count,Bias,From country,To country
93,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,6,-0.3333333333333333,Sweden,France
94,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,6,-0.3333333333333333,Switzerland,France
95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,United Kingdom,France
96,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Albania,Italy
97,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Armenia,Italy
98,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Austria,Italy
99,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Azerbaijan,Italy
100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Belarus,Italy
101,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Belgium,Italy
102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Denmark,Italy
103,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Estonia,Italy
104,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,6,0.3333333333333333,Macedonia,Italy
105,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Finland,Italy
106,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,France,Italy
107,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,6,0.0,Georgia,Italy
108,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Germany,Italy
109,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,6,0.0,Greece,Italy
110,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Hungary,Italy
111,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Iceland,Italy
112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Ireland,Italy
113,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,Israel,Italy
114,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,6,0.0,Latvia,Italy
115,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Lithuania,Italy
116,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Malta,Italy
117,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Moldova,Italy
118,1.0,-1.0,1.0,1.0,1.0,-1.0,2.0,6,0.3333333333333333,Montenegro,Italy
119,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Norway,Italy
120,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,6,0.0,Poland,Italy
121,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,6,0.0,Russia,Italy
122,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,6,0.3333333333333333,San Marino,Italy
123,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,6,0.0,Slovenia,Italy
124,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,0.6666666666666666,Spain,Italy
125,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Sweden,Italy
126,1.0,-1.0,1.0,1.0,1.0,1.0,4.0,6,0.6666666666666666,Switzerland,Italy
127,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,United Kingdom,Italy
128,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Albania,Spain
129,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Armenia,Spain
130,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Austria,Spain
131,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-2.0,6,-0.3333333333333333,Azerbaijan,Spain
132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Belarus,Spain
133,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Belgium,Spain
134,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Denmark,Spain
135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Estonia,Spain
136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Macedonia,Spain
137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Finland,Spain
138,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,France,Spain
139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Georgia,Spain
140,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Germany,Spain
141,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-4.0,6,-0.6666666666666666,Greece,Spain
142,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Hungary,Spain
143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Iceland,Spain
144,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Ireland,Spain
145,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,6,0.0,Israel,Spain
146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Italy,Spain
147,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Latvia,Spain
148,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Lithuania,Spain
149,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Malta,Spain
150,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Moldova,Spain
151,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Montenegro,Spain
152,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Norway,Spain
153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Poland,Spain
154,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Russia,Spain
155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,San Marino,Spain
156,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Slovenia,Spain
157,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Sweden,Spain
158,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Switzerland,Spain
159,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,6,0.0,United Kingdom,Spain
160,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Albania,United Kingdom
161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Armenia,United Kingdom
162,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Austria,United Kingdom
163,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Azerbaijan,United Kingdom
164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Belarus,United Kingdom
165,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Belgium,United Kingdom
166,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,6,0.0,Denmark,United Kingdom
167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Estonia,United Kingdom
168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Macedonia,United Kingdom
169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Finland,United Kingdom
170,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,France,United Kingdom
171,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Georgia,United Kingdom
172,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-2.0,6,-0.3333333333333333,Germany,United Kingdom
173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Greece,United Kingdom
174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Hungary,United Kingdom
175,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Iceland,United Kingdom
176,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6,1.0,Ireland,United Kingdom
177,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Israel,United Kingdom
178,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Italy,United Kingdom
179,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Latvia,United Kingdom
180,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Lithuania,United Kingdom
181,1.0,1.0,1.0,1.0,1.0,-1.0,4.0,6,0.6666666666666666,Malta,United Kingdom
182,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Moldova,United Kingdom
183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Montenegro,United Kingdom
184,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Norway,United Kingdom
185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Poland,United Kingdom
186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Russia,United Kingdom
187,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,6,0.3333333333333333,San Marino,United Kingdom
188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Slovenia,United Kingdom
189,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,6,-0.6666666666666666,Spain,United Kingdom
190,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Sweden,United Kingdom
191,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,6,-1.0,Switzerland,United Kingdom
