Finland	Iceland	0,606	2.
UK	Latvia	0,606	4.
Estonia	Slovakia	0,606	2.
Belgium	Estonia	0,605	2.
Italy	Austria	0,605	2.
Poland	Cyprus	0,605	3.
Ireland	Latvia	0,605	4
Ireland	Ukraine	0,604	2.
Greek	Czech Republik	0,603	2.
Finland	Slovenia	0,602	2.
Belgium	Norway	0,598	2.
Belgium	Latvia	0,598	4.
Italy	Hungary	0,598	2.
Austria	Slovakia	0,598	2.
Denmark	Ireland	0,597	2.
France	Netherlands	0,597	2.
Germany	Ukraine	0,596	2.
France	Hungary	0,596	2.
UK	Iceland	0,594	2.
Denmark	Spain	0,593	2.
Iceland	Norway	0,593	2.
Luxembourg	Ukraine	0,591	2.
Estonia	Iceland	0,591	2.
Russia	Slovenia	0,591	3.
Finland	Ukraine	0,591	2.
Russia	Hungary	0,589	3.
UK	Ukraine	0,588	2.
Norway	Slovakia	0,587	2.
Estonia	Norway	0,587	2.
France	Portugal	0,586	2.
Austria	Turkey	0,586	2.
Sweden	Slovakia	0,586	2.
Netherlands	Hungary	0,585	2.
Norway	Ukraine	0,585	2.
Portugal	Hungary	0,583	2.
Finland	Russia	0,583	3.
Bulgaria	Ireland	0,583	3.
Israel	Romania	0,583	4.
Estonia	France	0,582	2.
Belgium	Poland	0,582	2.
Germany	Slovakia	0,581	2.
Iceland	Sweden	0,580	2.
Netherlands	Cyprus	0,579	3.
Germany	Italy	0,578	2.
Latvia	Turkey	0,578	4.
Germany	Turkey	0,577	2.
Bulgaria	UK	0,577	3.
Belgium	Italy	0,576	2.
Romania	Slovenia	0,576	4.
Estonia	Romania	0,576	4.
Denmark	Israel	0,575	1.
Belgium	Russia	0,573	3.
Bulgaria	Poland	0,569	3.
Latvia	Spain	0,569	4.
Greek	Ukraine	0,568	2.
Iceland	Czech Republik	0,567	2.
Iceland	Portugal	0,567	2.
Belgium	Slovakia	0,566	2.
Austria	Ukraine	0,564	2.
Belgium	Turkey	0,562	2.
Denmark	France	0,561	2.
France	Norway	0,561	2.
Bulgaria	Russia	0,560	3.
Latvia	Switzerland	0,559	4.
Sweden	Hungary	0,559	2.
Bulgaria	Estonia	0,558	3.
Estonia	Slovenia	0,557	2.
Czech Republik	Hungary	0,556	2.
Estonia	Netherlands	0,556	2.
Bulgaria	Slovakia	0,555	3.
France	Czech Republik	0,554	2.
Italy	Netherlands	0,553	2.
Estonia	Switzerland	0,551	2.
Bulgaria	Germany	0,550	3.
Denmark	Portugal	0,550	2.
Croatia	Turkey	0,549	4.
France	Croatia	0,548	4.
Finland	Latvia	0,548	4.
Slovakia	Hungary	0,547	2.
Denmark	Estonia	0,546	2.
Estonia	Israel	0,545	4.
Denmark	Poland	0,544	2.
Netherlands	Ukraine	0,543	2.
Iceland	Netherlands	0,543	2.
Switzerland	Cyprus	0,542	3.
Bulgaria	Portugal	0,541	3.
Ireland	Romania	0,540	4.
Norway	Russia	0,540	3.
Finland	Hungary	0,539	2.
Bulgaria	Croatia	0,538	4.
Switzerland	Czech Republik	0,538	2.
Estonia	Sweden	0,538	2.
Norway	Switzerland	0,538	2.
UK	Romania	0,538	4.
Germany	Greek	0,536	2.
Ukraine	Cyprus	0,535	3.
Netherlands	Russia	0,535	3.
Bulgaria	Austria	0,535	3.
Norway	Slovenia	0,534	2.
Slovenia	Ukraine	0,533	2.
France	Cyprus	0,532	3.
Finland	Italy	0,531	2.
Norway	Romania	0,531	4.
Romania	Hungary	0,530	4.
Norway	Cyprus	0,530	3.
Belgium	Bulgaria	0,530	3.
Greek	Netherlands	0,529	2.
Turkey	Cyprus	0,528	4.
Sweden	Cyprus	0,527	3.
Netherlands	Turkey	0,527	2.
Latvia	Netherlands	0,525	4.
Bulgaria	Hungary	0,525	3.
Poland	Sweden	0,523	2.
Greek	Switzerland	0,522	2.
Romania	Cyprus	0,521	4.
Switzerland	Turkey	0,519	2.
Estonia	Italy	0,517	2.
Poland	Switzerland	0,516	2.
Turkey	Hungary	0,515	2.
Netherlands	Romania	0,513	4.
Bulgaria	Spain	0,512	3.
Italy	Switzerland	0,510	2.
Bulgaria	Ukraine	0,509	3.
Denmark	Slovenia	0,507	2.
Bulgaria	Israel	0,505	4.
Sweden	Ukraine	0,505	2.
Estonia	Hungary	0,504	2.
Belgium	Ukraine	0,503	2.
Russia	Sweden	0,503	3.
Romania	Spain	0,499	4.
Bulgaria	Finland	0,499	3.
Finland	Cyprus	0,498	3.
Poland	Hungary	0,498	2.
Latvia	Norway	0,497	4.
Belgium	Romania	0,494	4.
Ireland	Iceland	0,493	2.
Iceland	Slovenia	0,492	2.
Bulgaria	Slovenia	0,492	3.
France	Poland	0,490	2.
Bulgaria	Latvia	0,490	4.
Norway	Turkey	0,488	2.
Germany	Romania	0,487	4.
Finland	Greek	0,484	2.
Denmark	Ukraine	0,482	2.
Estonia	Turkey	0,482	2.
Estonia	Cyprus	0,481	3.
France	Slovakia	0,481	2.
Bulgaria	Netherlands	0,480	3.
France	Greek	0,480	2.
Italy	Norway	0,477	2.
Russia	Switzerland	0,476	3.
Finland	Romania	0,474	4.
Finland	Turkey	0,473	2.
Denmark	Hungary	0,473	2.
Italy	Sweden	0,471	2.
Latvia	Sweden	0,470	4.
Bulgaria	Czech Republik	0,469	4.
Estonia	Greek	0,468	2.
Denmark	Slovakia	0,467	2.
Greek	Norway	0,462	2.
Denmark	Latvia	0,462	4.
Denmark	Cyprus	0,459	3.
Greek	Sweden	0,459	2.
Romania	Sweden	0,456	4.
France	Italy	0,455	2.
Denmark	Greek	0,455	2.
Switzerland	Slovakia	0,453	2.
Bulgaria	Greek	0,449	4.
Sweden	Turkey	0,449	2.
Iceland	Poland	0,449	2.
France	Turkey	0,447	2.
Bulgaria	Norway	0,447	3.
Denmark	Russia	0,446	3.
Bulgaria	Cyprus	0,445	3.
Iceland	Ukraine	0,441	2.
Denmark	Turkey	0,440	2.
France	Latvia	0,439	4.
Denmark	Italy	0,435	2.
Bulgaria	France	0,432	3.
France	Ukraine	0,431	2.
France	Russia	0,430	3.
Switzerland	Ukraine	0,427	2.
Ukraine	Hungary	0,426	2.
Romania	Switzerland	0,425	4.
Greek	Iceland	0,425	2.
Bulgaria	Sweden	0,422	3.
Norway	Hungary	0,422	2.
Denmark	Romania	0,414	4.
Iceland	Hungary	0,413	2.
Iceland	Turkey	0,407	2.
Bulgaria	Denmark	0,403	3.
Bulgaria	Switzerland	0,392	3.
France	Romania	0,389	4.
Bulgaria	Turkey	0,387	4.
Iceland	Slovakia	0,381	2.
Iceland	Italy	0,364	2.
